filename,words
1.png,သိုၵ်းမၢၼ်ႈလႄႈ သိုၵ်းၵဝ်ႈၵၢင်ႉ ယိုဝ်းၵၼ်တီႈပၢင်ႇသၢႆး တိူဝ်ႉၺႃးႁိူၼ်းၵူၼ်းဝၢၼ်ႈၵူ
2.png,ၵူၼ်းပၢင်ႇသၢႆးၵေႃႉၼိုင်ႈလၢတ်ႈတီႈၽူႈတွႆႇႁွၵ်ႈဝႃႈ -“ ယိုဝ်းၵၼ်ႁိုင်မွၵ်ႈ 45 မိၼိတ်
3.png,ၵဝ်ႈၵၢင်ႉပႂ်ႉယိုဝ်းသိုၵ်းမၢၼ်ႈထႅမ်ႁႅင်းသိုၵ်း တၢင်းၶိုၼ်ႈလွႆ ၼၼ်ႉဢေႃႈ။
4.png,သိုၵ်းမၢၼ်ႈ သမ်ႉၶိုၼ်းယူႇတီႈတပ်ႉၶဝ် ၼိူဝ်လွႆ၊ ဢၼ်မီးၾၢႆႇၼိူဝ်ၵွင်းမူး ပၢင်ႇသၢႆး
5.png,သမ်ႉတူၵ်းၸမ်ဝၢၼ်ႈလႄႈ တိူဝ်ႉသႂ်ႇ ႁိူၼ်းယေးၵူၼ်းဝၢၼ်ႈၶႃႈဢေႃႈ ။
6.png,ၵူၼ်းဝၢၼ်ႈတႄႉ ဢမ်ႇငိၼ်းဝႃႈတိူဝ်ႉမၢတ်ႇၸဵပ်းၼင်ႇၵဝ်ႇၶႃႈ” ဝႃႈၼႆ။
7.png,ၼႂ်းဝူင်ႈဝၢင်ႈၼႆႉ သိုၵ်းမၢၼ်ႈလႄႈသိုၵ်းၵဝ်ႈၵၢင်ႉ ၵႆႉယိုဝ်းၵၼ်၊ လႆႈဝႃႈယိုဝ်းၵၼ်ယူႇ
8.png,ယိုဝ်းယိုဝ်းၵိုတ်းၵိုတ်း။
9.png,မီးၶၢဝ်ႇဝႃႈ သိုၵ်းၵဝ်ႈၵၢင်ႉၶႂ်ႈလႆႈၶိုၼ်းမိူင်းၵူဝ်းၼႆလႄႈ သိုၵ်းမၢၼ်ႈၸင်ႇထႅမ်ႁႅင်
10.png,ၼိုင်ႈဝၼ်းရူတ်ႉၵႃးၾူဝ်ႊဝီႊ 4-5 လမ်း။
11.png,မိူဝ်ႈဝႃး (19/8/2021) ယၢမ်းၵၢင်ၶမ်ႈမွၵ်ႈ 8 မူင်းပၢႆၵေႃႈ ၵူၼ်းမိူင်းႁၼ် သိုၵ်း ၶ
12.png,လိူဝ်ၼၼ်ႉ ၼႂ်ၼႆႉၵေႃႈ မီးၵူၼ်းၸုမ်းၼိုင်ႈ ၶီႇရူတ်ႉၶိူင်ႈလၢႆလၢႆၵၼ်း မႃးပွႆႇမၢၵ်ႇၼႂ
13.png,“ၼႂ်ၼႆႉၵေႃႈ မီးၵူၼ်းၶီႇရူတ်ႉၶိူင်ႈမႃးသေ ဢဝ်မၢပ်ႇပွမ်းထိုမ်ႈၶဝ်ႈၼႂ်းဝၢင်း ႁူင်းပလ
14.png,မၢၵ်ႇၵေႃႈတႅၵ်ႇ။
15.png,ၵူၺ်းဢမ်ႇတိူဝ်ႉၵူၼ်းၼင်ႇၵဝ်ႇၶႃႈ။
16.png,ပလိၵ်ႈမၢၼ်ႈၵေႃႈၶိုၼ်းယူႇၼႂ်းဝၢင်းသေ ယိုဝ်းၸွမ်းလင်ၵူၼ်းၶီႇရူတ်ႉၶိူင်ႈၸိူဝ်းၼၼ်ႉ
17.png,”- ဝႃႈၼႆ။
18.png,ၵူၼ်းၶီႇရူတ်ႉၶိူင်ႈၸုမ်းၼႆႉ ယူႇယူႇၵႆႉဢဝ်ႁႅင်းမႃးပၼ်ႇလဵပ်ႈလွၵ်ႇငိုတ်ႈၸွမ်းႁူင်းပလ
19.png,ပဵၼ်ၽႂ်ၸုမ်းလႂ်ဢမ်ႇႁူႉတႅတ်ႈတေႃးသေတႃႉ ၵူၼ်းပိုၼ်ႉတီႈၵမ်ႈၽွင်ႈလၢမ်းၶၢတ်ႈဝႃႈ လႅပ်ႈ
20.png,သိုၵ်းမၢၼ်ႈလႄႈသိုၵ်းၵဝ်ႈၵၢင်ႉ  ဢိၵ်ႇၸုမ်းဢူၺ်းလီၼႆႉ တႄႇပိုတ်းယိုဝ်းၵၼ်မႃးၶိ
21.png,ၵူၼ်းပိုၼ်ႉတီႈလႆႈပၢႆႈၽေးသိုၵ်း မီးႁိမ်း 1000 ။
22.png,ၵမ်ႈၽွင်ႈပၢႆႈမူၵ်းယုမ်း ၵမ်ႈၽွင်ႈပၢႆႈၵႂႃႇယူႇၸွမ်းပီႈၼွင်ႉ၊ ၵမ်ႈၽွင်ႈပၢႆႈၵႂႃႇယူႇ
23.png,ယၢမ်းလဵဝ်ၵူၼ်းပၢႆႈၽေးသိုၵ်းယၢပ်ႇၽိုတ်ႇ ၽႃႈယၢင်မုင်းသုမ်ႉသွင်းတႃႇယူႇလွတ်ႈၶၢဝ်းၾူ
24.png,ၸိူဝ်းၵႂႃႇယူႇႁိမ်းလႅၼ်လိၼ်ၶႄႇၼၼ်ႉ လူင်ပွင်ၸိုင်ႈၶႄႇ မႃးႁဵတ်းႁူဝ်ႉလႅၼ်လိၼ် တီႈဢၼ
25.png,ၸိုဝ်ႈလၢႆးၵၢၼ်ပွႆႇသဵင် သႂ်ႇဝႆႉဝႃႈ   ၼႆသေ တႄႇပွႆႇသဵင်ပၼ်ၵႂႃႇလႄႈ ၵူၼ်းမိူင
26.png,ဢွမ်လူမ်း
27.png,“တင်ႈတႄႇ  ပိုၼ်ၽၢဝ်ႇဝႃႈ ထႅင်ႈ 2-3 ဝၼ်းတေတႄႇပွႆႇသဵင် ၼႆၼၼ်ႉယဝ်ႉၶႃႈ ။
28.png,ၵူၼ်းတီႈဝဵင်းတႃႈၵုင်ႈ ဢွၼ်ၵၼ်ၵႂႃႇသိုဝ်ႉ ဢွမ်လူမ်းမႃး။
29.png,ၼႂ်းၵၢတ်ႇ ဢွၼ်ႊလၢႆႊ ၵေႃႈ ဝၢင်းၶၢႆ ၸၢၵ်ႈဢွမ်လူမ်း မႃးဢေႃႈ။
30.png,ၵႃႈဢွမ်လူမ်းၵေႃႈ ပုင်ႈၶိုၼ်ႈသုင်ဢေႃႈ ။
31.png,လုၵ်ႈတီႈ 1 လုၵ်ႈ 12000 ပျႃးၼႆႉၶိုၼ်ႈထိုင် 17000 ပျႃးၸိူဝ်းၼႆႉဢေႃႈ။
32.png,ၵူၺ်းၵႃႈ တႃႇတီႉထွမ်ႇလႆႈ သဵင်   ၼႆႉသမ်ႉ တၵ်းလႆႈပဵၼ်သႅၼ်း 10
33.png,” ၵူၼ်းၼုမ်ႇသႅၼ်းႁုၼ်ႈမႂ်ႇ ဢၼ်ယူႇတႃႈၵုင်ႈလၢတ်ႈ။
34.png,ၼႂ်းလၢႆးၵၢၼ်   ၼၼ်ႉ ပဵၼ်လၢႆးၵၢၼ်- ၶၢဝ်ႇ၊ တႃႇႁႄႉၵင်ႈတၢင်းပဵၼ်ၶူဝ်ႊဝိတ်ႉ၊
35.png,ၾူၼ်တူၵ်း ဝၼ်းတီႈ 18/8/2021 သေ လွႆၵူၼ်ႇပိၵ်ႉၼၢင်သဵၼ်ႈတၢင်း၊ တေႃႇထိုင်ဝၼ်းတီႈ 19
36.png,-လိၼ်ၵူၼ်ႇသဵၼ်ႈတၢင်းမိူင်းငေႃႉ ၵျွၵ်ႉမႄး ဝၼ်းတီႈ 18 လႄႈ 19/8/2021
37.png,တၢင်းၶဝ်ႈမိူင်းငေႃႉၵေႃႈမီး ၵဵတ်ႉ/လၢၼ်ႇ ပႂ်ႉၵူတ်ႇထတ်းထဵတ်ႈထၢမ်။
38.png,“ပႆႇမီးၵူၼ်းမိူင်းႁတ်းၵႂႃႇမႃးၶႃႈ။
39.png,ပေႃးပဵၼ်ၵူၼ်းတၢင်ႇတီႈမႃးၼႆ ၶႆႈၶဝ်ႈၵၵ်းတူဝ် 14 ဝၼ်း ၸင်ႇပၼ်ၶဝ်ႈမိူင်းငေႃႉ ၶႃႈဢေႃ
40.png,ၾၢႆႇၼိုင်ႈၵေႃႈ ၼႂ်းဝူင်ႈဝၢင်ႈၼႆႉ ပၢင်တိုၵ်းၵေႃႈၶိုၼ်းႁၢဝ်ႈႁႅင်းမႃးဢေႃႈ ပွတ်းမိူ
41.png,သဵၼ်ႈတၢင်းၼႂ်းၵႄႈမိူင်းငေႃႉ-ၵျွၵ်ႉမႄးၼႆႉ ပေႃးၾူၼ်တူၵ်းႁႅင်း/ ထပ်းၵၼ်လၢႆဝၼ်းၼႆ လိ
42.png,ပၢင်တိုၵ်းဢၼ်ပဵၼ်ပွတ်းတေႃႉသၢင်ႇ -မိူင်းငေႃႉၼႆႉ ပဵၼ်သိုၵ်းဢူၺ်းလီပွတ်းႁွင်ႇလႄႈ သိ
43.png,ၵူၼ်းမိူင်းလႆႈၾၢင်ႉလွင်ႈၵႂႃႇမႃး။
44.png,ပၢင်တိုၵ်းၼႆႉပဵၼ်ႁၢဝ်ႈႁႅင်းၽွင်းႁူဝ်လိူၼ်ၵျူႊလၢႆႊ။
45.png,ယၢမ်းလဵဝ် ပွၵ်ႈမိူဝ်းၶိုၼ်းၽွင်ႈယဝ်ႉသေတႃႉ တၢင်းပွတ်းဝၢၼ်ႈၵေႃႈ ယူႇယူႇသဵင်ၵွင်ႈသဵ
46.png,ၵူၼ်းဝၢၼ်ႈပၢႆႈၽေးသိုၵ်းမႃးသွၼ်ႈတီႈမိူင်းငေႃႉ ၼပ်ႉႁူဝ်ပၢၵ်ႇ။
47.png,တီႈမိူင်းငေႃႉၼႆႉ ၵူၼ်းတိတ်းၸပ်းတၢင်းပဵၼ်ၶူဝ်ႊဝိတ်ႉၵေႃႈမီးၼမ်။
48.png,ၵူၼ်းမိူင်းလႄႈၵူၼ်းပၢႆၽေး လႆႈၾၢင်ႉယူႇၾၢင်ႉၵိၼ်။တီႈဝဵင်းတႃႈၶီႈလဵၵ်း လႅၼ်လိၼ်တႆး-
49.png,-  ၸုမ်းၸွႆႈထႅမ်လွင်ႈၸဵပ်းမႆႈၶႆႈတၢႆ တႃႈၶီႈလဵၵ်း တိုၵ်ႉဢဝ
50.png,ၾၢႆႇပၢႆးယူႇလီ ၵူတ်ႇထတ်းထူပ်းႁၼ် ၵူၼ်းၸပ်းတၢင်းပဵၼ် ၼိုင်ႈဝၼ်း မီးၼႂ်းၵႄႈ 30 ထိုင
51.png,“ၵူၼ်းတႄႉၵႂႃႇမႃး ပိုတ်ႇလၢၼ်ႉၶၢႆၶူဝ်းၶိုၼ်း ၶႆႈဝႃႈမိူၼ်ၵဝ်ႇယဝ်ႉၶႃႈ တီႈတႃႈၶီႈလဵၵ်း
52.png,ဢမ်ႇပိုတ်ႇလၢၼ်ႉၵေႃႈသမ်ႉလူဝ်ႇႁႃၵိၼ်လဵင်ႉတွင်ႉၶႃႈလူးၼေႃ။
53.png,ၵွပ်ႈၼႆ ဢၼ်ၸပ်းတၢင်းပဵၼ်ၼႆႉၵေႃႈၵူတ်ႇထတ်းႁၼ်ယူႇၵူႈဝၼ်းဢေႃႈ။
54.png,ၵူၼ်းလုၵ်ႉမိူင်းထႆး မိူင်းလၢဝ်းမႃးၵေႃႈ မီးယူႇတိၵ်းတိၵ်းဢေႃႈ“ ၵူၼ်းတႃႈၶီႈလဵၵ်း ဢ
55.png,ၵူၼ်းမိူင်းႁူမ်ႈတုမ်ဢၼ်ၵႂႃႇႁဵတ်းၵၢၼ်တၢင်းမိူင်းထႆး မိူင်းလၢဝ်းၵေႃႈ ပွၵ်ႈႁိူၼ်းၶိ
56.png,ၾၢႆႇၽွင်းငမ်း ၊ၾၢႆႇၵႅတ်ႇၵင်ႈၶူဝ်ႊဝိတ်ႉ ႁပ်ႉၶဝ်ႈတႃႈၶီႈလဵၵ်း ၵူတ်ႇထတ်းတၢင်းပဵၼ်သေ
57.png,ပဵၼ်တၢင်းဝၢၼ်ႈ ၽွင်ႈ ၊ တၢင်းမိူင်းၽူင်း တႃႈလိူဝ်ႇ ၽွင်ႈ ၊ ၵူၼ်းတၢႆၵေႃႈ တေပဵၼ်ၵူ
58.png,“ၵူၼ်းၸပ်းတၢင်းပဵၼ် 2000 ပၢႆ ၼႆႉ ဢမ်ႇၸႂ်ႈၼႂ်းဝဵင်းတႃႈၶီႈလဵၵ်း ၵူၺ်းၶႃႈ။
59.png,ဢွၵ်ႊသီႊၵျိၼ်ႊတႄႉ ၵမ်ႈၼမ် တေသင်ႇဢဝ်တၢင်းလၢႆႇၼႃႈ (မႄႈသၢႆ) ၊ မႄႈၵျၼ်း ပုၼ်ႉမႃးဢေႃ
60.png,ႁႅင်းဢွၵ်ႊသီႊၵျိၼ်ႊတူၵ်း ၶႃႈဢေႃႈ။
61.png,ၶဝ်ပၼ်တေႃႉၶဝ်ႈ တေႃႉဢွၵ်ႇယူႇၶႃႈ။
62.png,”- ၵူၼ်းၼုမ်ႇၸွႆႈထႅမ်တူင်ႇဝူင်းၵူၼ်း တႃႈၶီႈလဵၵ်း လၢတ်ႈထႅင်ႈၼင်ႇၼႆ။
63.png,တွၼ်ႈတႃႇၸွႆႈထႅမ်ႁႅင်းၵၢၼ်ယၢၼ်မိူင်း ပွၵ်ႈႁိူၼ်းၶိုၼ်းတႄႉ ၸဝ်ႈတူၼ်ၶူးဝတ်ႉၵျွင်း ၼ
64.png,ၵူၼ်းပၢႆႈၽေးသိုၵ်းၼႂ်းဝဵင်းပၢင်ႇသၢႆး ၸိုင်ႈတႆးပွတ်းႁွင်ႇ ႁဵတ်းသုမ်ႉသွင်းယူႇသဝ်းႁ
65.png,() -ၶႄႇမႃးလွမ်ႉႁူဝ်ႉၶႅၼ်ႈလႅၼ်လိၼ် တီႈႁိမ်းပၢင်သဝ်းၵူၼ်းပၢႆႈၽေးသိ
66.png,ၵူၼ်းပၢႆႈၽေးသိုၵ်းတီႈႁိမ်းလႅၼ်လိၼ်ၼႆႉပဵၼ်ၵူၼ်းဝၢၼ်ႈ 7 ဝၢၼ်ႈဢၼ်ယူႇသဝ်းၼႂ်းဝဵင်းပၢ
67.png,ၸိူဝ်းၶဝ်ပၢႆႈၽေးပၢင်တိုၵ်း သိုၵ်းၵဝ်ႈၵၢင်ႉ  လႄႈသိုၵ်းမၢၼ်ႈ ပိုတ်းယိုဝ်းၵၼ်
68.png,သိုၵ်းမၢၼ်ႈ ယိုဝ်းၵွင်ႈၶဝ်ႈၼႂ်း ဝၢၼ်ႈ ဝၢၼ်ႈၾၢႆၵွင်း ဢိူင်ႇၽွင်းသႅင် ဝဵင်းပၢင်ႇသၢ
69.png,ၵူၼ်းမိူင်း ၼပ်ႉႁူဝ်ပၢၵ်ႇ ပၢႆႈမူၵ်းထိူၼ်ႇ ၊ ပၢႆႈသုတ်ႉယူႇသဝ်းႁိမ်းလႅၼ်လိၼ် တီႈၵႆ
70.png,တေႃႇထိုင်မိူဝ်ႈဝႃးၼႆႉ သိုၵ်းၶႄႇ လွမ်ႉႁူဝ်ႉလႅၼ်လိၼ် တီႈဢၼ်မီးပၢင်သဝ်းၵူၼ်းပၢႆႈၽေး
71.png,ႁူဝ်ၵူၼ်းပၢႆႈၽေးမီး 1400 ပၢႆ။
72.png,ႁဵတ်းႁႂ်ႈၵူၼ်းပၢႆႈၽေး ပဵၼ်လွင်ႈသုၵ်ႉယုင်ႈၸႂ် ဝႃႈတေလႆႈၶၢႆႉပၢႆႈထႅင်ႈတီႈလႂ် ၼႆယူႇ-
73.png,တေႃႇထိုင်ယၢမ်းလဵဝ်သိုၵ်း 2 ၸုမ်းတိုၵ်ႉၶဵင်ႈၶႅင်ၵၼ်ယူႇလႄႈၵူၼ်းပၢႆႈၽေးပႆႇၸၢင်ႈပွၵ်
74.png,ၾၢႆႇၼိုင်ႈၾူၼ်ၵေႃႈတူၵ်းထပ်းၵၼ်ႁႃႇယႂ်ႇ လၢႆဝၼ်းယဝ်ႉလႄႈ ၵူၼ်းပၢႆႈၽေး လူဝ်ႇၽႃႈယၢင်မ
75.png,ဢၢၼ်ႇၶၢဝ်ႇပၢင်တိုၵ်း သိုၵ်းမၢၼ်ႈလႄႈ  မိူဝ်ႈႁူဝ်လိူၼ်ဢေႃႊၵတ်ႉသ်ၼႆႉ
76.png,ၵၢတ်ႇဝဵင်းၶူဝ်လမ် ဢၼ်ပိၵ်ႉမႃးလႆႈႁိမ်းၽၢၵ်ႇလိူၼ် သၢဝ်းဝၼ်း ယွၼ်ႉတၢင်းပဵၼ်ၶူဝ်ႊဝိတ
77.png,- ၵူၼ်းတိတ်းၶူဝ်ႊဝိတ်ႉ ဢၼ်မႂ်ႇဢမ်ႇမီးယဝ်ႉလႄႈ ၵၢတ်ႇဝဵင်းၶူဝ်လမ်
78.png,“ယၢမ်းလဵဝ်တီႈဝဵင်းၶူဝ်လမ် ၵူၼ်းတိတ်းၸပ်းတၢင်းပဵၼ်ၶူဝ်ႊဝိတ်ႉ ဢၼ်ၵူတ်ႇထတ်းႁၼ်မႂ်ႇမ
79.png,ၵူၺ်းၵႃႈ ဢမ်ႇၵိုၼ်းၶႃႈ။
80.png,ပိူၼ်ႈပႆႇႁတ်းမႃးသိုဝ်ႉၶၢႆၵၼ်ၼမ်။
81.png,တီႈၶူဝ်လမ်ဢမ်ႇမီးၵူၼ်းပဵၼ်ယဝ်ႉၼႆသေတႃႉၵူၼ်းတၢင်ႇဝဵင်း မိူၼ်ၼင်ႇ ၵုၼ်ႁဵင် ၵႃလိ ၸိ
82.png,ၼွၵ်ႈလိူဝ်ၼၼ်ႉ ရူတ်ႉၵႃး ဢၼ်လုၵ်ႉတၢင်ႇတီႈ တေလတ်းဝဵင်းၶူဝ်လမ် ၵႂႃႇမႃးၼၼ်ႉၵေႃႈ ၾၢႆႇ
83.png,တိုၵ်ႉၸႂ်ႉတႆႇသဵၼ်တၢင်းၼွၵ်ႈဝဵင်းသေၵႂႃႇမႃးယူႇလႆႈႁူႉၼင်ႇၼႆ။
84.png,ၶၢဝ်းတၢင်းပဵၼ်ၶူဝ်ႊဝိတ်ႉ ၽႄႈလၢမ်းမႃးၵမ်းထူၼ်ႈသၢမ်ၼႆႉ ၵူၼ်းမိူင်းၶူဝ်လမ် ဢၼ်တိတ်း
85.png,တၢႆယွၼ်ႉတၢင်းပဵၼ်ၼႆႉမီး 2 ၵေႃႉ။
86.png,ၵူၼ်းတိတ်းၸပ်းၸိူဝ်းၼၼ်ႉတႄႉယၢမ်းလဵဝ်ၶႅၼ်းၸိုၼ်ႈသေ လူင်းႁူင်းယႃ ပွၵ်ႈမိူဝ်းယူႇႁိူ
87.png,ၵူၼ်းပဵၼ်ၶူဝ်ႊဝိတ်ႉ ႁွပ်ႈသၢမ် ၼႂ်းပတ်းပိုၼ်ႉမိူင်းတႆး ၼႂ်းၶၢဝ်းတၢင်း 80 ဝၼ်းၼႆႉ
88.png,ၵူၼ်းတၢႆယွၼ်ႉတၢင်းပဵၼ် မီး ႁိမ်းၸမ် 1000 ၸုမ်းတူင်ႉၼိုင်ၸွႆႈထႅမ်ၵူၼ်းပဵၼ်ၶူဝ်ႊဝ
89.png,ဢူးဢွင်ႇလေး ဢႃယု 48 ပီလႄႈၵေႃႉပဵၼ်လုၵ်ႈၸၢႆး ပဵၼ်ၸၢႆးလိူၼ် ဢႃယု 24 ပီ ဢၼ်ယဵပ်ႇၺႃးမ
90.png,“ဝၼ်းတီႈ 15/8/2021 ၵူၼ်းဝၢၼ်ႈၼမ်ႉမင်း သွင်ၵေႃႉပေႃႈလုၵ်ႈ ၵႂႃႇႁႃၼေႃႇသေ ယဵပ်ႇၺႃးမၢၵ
91.png,ပေႃႈမၼ်းမၢတ်ႇၸဵပ်းတီႈၶႃႈလူင် လုၵ်ႈၸၢႆးမၼ်းၺႃးၸၢၵ်ႇမၢၵ်ႇတီႈ ႁူဝ်ၶဝ်ႇ ” ၵူၼ်းႁူႉၸ
92.png,ၵေႃႉပဵၼ်ပေႃႈၸိုဝ်ႈႁွင်ႉ ဢူးဢွင်ႇလေး ဢႃယု 48 ပီလႄႈၵေႃႉပဵၼ်လုၵ်ႈၸၢႆး ပဵၼ်ၸၢႆးလိူၼ်
93.png,ပဵၼ်ၵူၼ်းပွၵ်ႉ 8 ၵျွၵ်ႉမႄး။
94.png,ၸဵမ်မိူဝ်ႈၾူၼ်တႄႇသိင်း ၶႃသွင်ၵေႃႉပေႃႈလုၵ်ႈ ၵႂႃႇႁႃၼေႃႇ ႁႃႁဵပ်း ႁိမ်းႁွမ်းၼၼ်ႉၵူႈ
95.png,“ဝၼ်းၵွၼ်ႇႁဝ်းၶႃႈၵေႃႈၵႂႃႇႁႃႁဵပ်းႁႃၼေႃႇ တၢင်းၼၼ်ႉယူႇၶႃႈၼႃ။
96.png,ဢမ်ႇၸႂ်ႈႁႃးပေႃႈလုၵ်ႈၵူၺ်းၵႂႃႇၼႆႉ။
97.png,ၵူၼ်းၼႂ်းဝၢၼ်ႈၵေႃႈၵႂႃႇ။
98.png,ဢိူဝ်ႈဝၼ်းၼၼ်ႉတႄႉလႆႈဝႃႈႁႃးပေႃႈလုၵ်ႈၵၢမ်ႇႁၢႆႉၵႂႃႇဢိူဝ်ႈၼေႃႈ ” ဢူးဢွင်ႇလေး ၵေႃႉယဵ
99.png,ၵူၼ်းတၢင်ႇဝၢၼ်ႈၵေႃႈမႃးယဝ်ႉ တၢင်းၼမ်ႉမင်းၼႆႉ။
100.png,ထုင်ႉၼၼ်ႉမီးၸုမ်းယိပ်းၵွင်ႈၵၢင်ႇတူင်ႉၼိုင်ၵႂႃႇမႃးယူႇသဝ်း ၵူႈၸုမ်း။
101.png,ပဵၼ်ၼမ်ႉမိုဝ်းၸုမ်းလႂ်တႄႉဢမ်ႇၸၢင်ႈဝႃႈ မၼ်းၸၢႆးလၢတ်ႈၼင်ႇၼႆ။
102.png,ထုင်ႉၼမ်ႉမင်းၼၼ်ႉ မီးၼေႃႇ မီးႁဵပ်းလိူင်ႇလႄႈ ၵူၼ်းဝၢၼ်ႈၵႂႃႇႁႃမႃးၵိၼ်မႃးၶၢႆၵူႈပီ။
103.png,ၵွပ်ႈၼႆလႄႈ ၵူၼ်းႁႃႁဵပ်းၵေႃႈ ထုၵ်ႇလီၾၢင်ႉတူဝ် တႃႇလွတ်ႈၽေးယူႇ ၵူၼ်းဝၢၼ်ႈထုင်ႉၼမ်ႉ
104.png,“တၢင်း 11 လၵ်း 12 လၵ်း ထုင်ႉဝၢၼ်ႈၼမ်ႉမင်းၼႆႉ ႁဵပ်း ၊ ၼေႃႇ တၢင်းၵိၼ်လိူင်ႇၼႃႇၶႃႈ။
105.png,မိူၼ်ၶၢဝ်းယၢမ်းၼႆႉ ပဵၼ်ၶၢဝ်း ႁဵပ်းလိူင်ႇ။
106.png,ၵူၼ်းဝၢၼ်ႈမႃးႁႃႁဵပ်းပေႃးၵိုၼ်းဢိုၵ်ႉဢိုၵ်ႉၶႃႈယဝ်ႉ။
107.png,တႃႇႁႂ်ႈလွတ်ႈၽေးၼၼ်ႉၵူၼ်းဝၢၼ်ႈၵေႃႈထုၵ်ႇလီၾၢင်ႉယႂ်ႇၼမ်ယူႇဢေႃႈ။
108.png,ၼႂ်းလိူၼ်ဢေႃးၵၢတ်ႉသ် ဝၼ်းတီႈ 13 ၼႆႉၵေႃႈ   ၵူၼ်းဝၢၼ်ႈပၢင်မႃႉ ဢၼ်ပၢႆႈၽေးသိုၵ်းမႃးယ
109.png,” မၼ်းၸၢႆးလၢတ်ႈၼင်ႇၼႆ။
110.png,ႃႈဢေးၸိင်ႇဢႃယု 40 ပီလႄႈ မၢႆးဢၢႆႈၺီႇ ဢႃယု 31 ပီ ဢၼ်ယဵပ်ႇၺႃးမၢၵ်ႇတီႈႁိမ်းသူၼ်ၼဵင်ႈ
111.png,“ၶဝ်ၵႂႃႇႁႃႁဵပ်းႁိမ်းသူၼ်ၼဵင်ႈၼၼ်ႉၵူၺ်း။
112.png,ၵႂႃႇၶွင်ႉၺႃးသၢႆ  မၢၵ်ႇမႅင်း  သေ မၢၵ်ႇတႅၵ်ႇတိူဝ်ႉသႂ်ႇၶႃ  ။
113.png,ၸိုဝ်ႈႁွင်ႉ ယႃႈဢေးၸိင်ႇဢႃယု 40 ပီလႄႈ မၢႆးဢၢႆႈၺီႇ ဢႃယု 31 ပီ။
114.png,လုၵ်ႈဢွၼ်ႇဢၼ်ၵႂႃႇၸွမ်းၶႃ 4 ၵေႃႉၼၼ်ႉတႄႉ ဢမ်ႇမၢတ်ႇၸဵပ်း   ။
115.png,ၶႃသွင်ၵေႃႉတႄႉ ယၢမ်းလဵဝ်ယူတ်းယႃတူဝ်ဝႆႉတီႈႁူင်းယႃ။
116.png,” ၽူႈၸၢႆး ဢၼ်ၸွႆႈထႅမ်တႃႇ ၶႃသွင်ၵေႃႉတေလႆႈယူတ်းယႃတူဝ်ၼၼ်ႉလၢတ်ႈတီႈၽူႈတွႆႇႁွၵ်ႈၼင်ႇ
117.png,မိူဝ်ႈလိူၼ် ၵျူႊလၢႆႊပူၼ်ႉမႃးၵေႃႈ ၽူႈၸၢႆး ၵူၼ်းဝၢၼ်ႈပၢင်လႅင် ဢႃယု 25 ပီ ၵႂႃႇႁႃႁဵပ
118.png,တီႈဝဵင်းၵျွၵ်ႉမႄးၼႆႉ တၢင်းပဵၼ်ၶူဝ်ႊဝိတ်ႉလၢမ်းၽႄႈႁၢဝ်ႈႁႅင်း၊ ႁႃၵိၼ်လဵင်ႉတွင်ႉယၢပ်
